FechaInicio_Viaje;FechaTermino_Viaje;Destino_Viaje;CostoTotal_Viaje;Monto_DesgloseViaje;OtroTipo_DesgloseViaje;Nombre_TipoDesglose;Nombre_FinancistaViaje;Apellidos_FinancistaViaje;Nombre_FinancistaViajeEntidad;IDPasivo;IDViaje_CodigoViaje;Nombre_Objeto;Otro_ObjetoViaje;Nombre_Institucion;IDORPortal_Institucion
2015-01-07;2015-01-07;Valparaiso;44228;40828;Viatico;Otros;;;Subsecretaria de Economia y Empresas de Menor Taño;81715;290;Otro;Presentacion Proyecto de Ley;SUBSECRETARÍA DE ECONOMÍA;AH001
2014-12-02;2014-12-02;Concepción;143000;40828;viatico;Otros;;;subsecretaria de pesca y acuicultura;81718;195;Entrevistas, reuniones o audiencias;Reuniones con Organizaciones de Pescadores Artesanales de Provincia de Concepción y Arauco;SUBSECRETARÍA DE PESCA;AH002
2015-01-02;2015-01-02;Santiago;40828;40828;Viatico;Otros;;;subsecretaria de pesca y acuicultura;81718;385;Entrevistas, reuniones o audiencias;Reunión Ministerio de Economía, Tema:  Desarrollo Productivo Caletas Pesqueras;SUBSECRETARÍA DE PESCA;AH002
2015-01-05;2015-01-05;santiago;40828;40828;viatico;Otros;;;subsecretaria de pesca y acuicultura;81718;386;Entrevistas, reuniones o audiencias;Reunión SEGPRES y entrevista CNN;SUBSECRETARÍA DE PESCA;AH002
2015-01-21;2015-01-21;Concepción;245471;40828;Viatico;Otros;;;Subsecretaría de Previsión Social;81726;347;Relacionamiento institucional;Difusión Agenda Laboral;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002
2015-01-13;2015-01-13;Congreso Valparaiso;40828;40828;Viático;Otros;;;Ministerio de Bienes Nacionales;81957;412;Entrevistas, reuniones o audiencias;Encuentro con Bancada Diputados Radicales;SUBSECRETARÍA DE BIENES NACIONALES;AQ001
2015-01-18;2015-01-18;Paso Las Leñas, VI Región del Libertador Bernardo OHiggins;40828;40828;Viático;Otros;;;Ministerio de Obras Públicas;81720;418;Visitas técnicas;Visita Región de Ohiggins, junto a autoridades de la región:  Senadores y Diputados de la zona, sobrevoló el Paso Fronterizo Las Leñas, recientemente priorizado por las Presidentas de Chile y Argentina, para la construcción de un túnel binacional que potencie la integración, el comercio y el turismo entre ambas naciones.   Además, el ministro Undurraga sostuvo una reunión en la Intendencia de O’Higgins con la jefa del gobierno regional,  Senador y Seremi  para revisar la cartera de proyectos para la región y la inversión sectorial involucrada.;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2015-01-20;2015-01-20;Valparaíso, V Región de Valparaíso;40828;40828;Viático;Otros;;;Ministerio de Obras Públicas;81720;419;Entrevistas, reuniones o audiencias;Reuniones Congreso Nacional - Cámara Diputados.;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2015-01-22;2015-01-22;Antofagasta, II Región de Antofagasta;40828;40828;Viático;Otros;;;Ministerio de Obras Públicas;81720;422;Celebraciones, conmemoraciones e inauguraciones,;Firma de acuerdo con Ministro de Hacienda, Ministro de Transportes, Intendente de la II Región y la Fundación Minera Escondida, que financiará los estudios,  para construir Metro Cable. Falta factura vuelo comercial.;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2014-12-05;2014-12-05;Cuesta La Dormida, V Región de Valparaíso.;40828;40828;Viático;Otros;;;Ministerio Obras Públicas;81720;232;Entrevistas, reuniones o audiencias;Nota de prensa TVN;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
2014-12-04;2014-12-04;Puerto Montt y Chiloé, X Región de Los Lagos.;551763;40828;Viático;Otros;;;Ministerio Obras Públicas;81720;233;Visitas técnicas;Sobre vuelo Chacao y Calbuco, y recibimiento de la plataforma para hacer los sondajes y mediciones del fondo marino para la construcción del Puente Chacao.;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001
